Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Budget),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Status Category,Status Category Changed
As a developer or user I need a central file to view project standards and descriptions of how the project is structured.,WSSS-3,10067,Story,Done,WSSS,Web Service Scrum Space,software,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,,Medium,Done,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,17/Feb/26 6:58 PM,06/Mar/26 7:33 PM,06/Mar/26 7:36 PM,06/Mar/26 7:33 PM,08/Mar/26 12:00 AM,0,,,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7e4e3545,,,,,,{},,,,,,,,,,,,0|i00007:,,,Sprint 1,,,6.0,,,,,,,,10002_*:*_2_*:*_90780922_*|*_10004_*:*_1_*:*_2294999_*|*_10003_*:*_1_*:*_1377807657,Done,06/Mar/26 7:33 PM
Decide on the tech stack for the project,WSSS-4,10068,Task,Done,WSSS,Web Service Scrum Space,software,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,,Medium,Done,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,17/Feb/26 6:58 PM,04/Mar/26 7:52 PM,,18/Feb/26 8:11 PM,08/Mar/26 12:00 AM,0,,,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5103cdbd,,,,,,{},,,,,,,,,,,,0|i0000f:,,,Sprint 1,,,2.0,,,,,,,,10002_*:*_1_*:*_90739663_*|*_10004_*:*_1_*:*_0,Done,18/Feb/26 8:11 PM
Define team roles,WSSS-5,10069,Task,Done,WSSS,Web Service Scrum Space,software,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,,Medium,Done,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,17/Feb/26 6:59 PM,04/Mar/26 7:52 PM,,18/Feb/26 8:11 PM,08/Mar/26 12:00 AM,0,,,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6073d07,,,,,,{},,,,,,,,,,,,0|i0000n:,,,Sprint 1,,,2.0,,,,,,,,10002_*:*_1_*:*_90724476_*|*_10004_*:*_1_*:*_0,Done,18/Feb/26 8:11 PM
Design project architecture,WSSS-6,10070,Task,Done,WSSS,Web Service Scrum Space,software,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,,Medium,Done,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,17/Feb/26 6:59 PM,06/Mar/26 6:54 PM,,06/Mar/26 6:54 PM,08/Mar/26 12:00 AM,0,,,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@79936038,,,,,,{},,,,,,,,,,,,0|i0000v:,,,Sprint 1,,,2.0,,,,,,,,10002_*:*_1_*:*_1468507338_*|*_10004_*:*_1_*:*_0,Done,06/Mar/26 6:54 PM
As the developer I want to initialize the project so my team can add/edit features,WSSS-7,10071,Story,Done,WSSS,Web Service Scrum Space,software,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,,Medium,Done,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,17/Feb/26 7:00 PM,06/Mar/26 6:54 PM,,06/Mar/26 6:54 PM,08/Mar/26 12:00 AM,0,,,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@723f3a0d,,,,,,{},,,,,,,,,,,,0|i00013:,,,Sprint 1,,,8.0,,,,,,,,10002_*:*_1_*:*_90660883_*|*_10003_*:*_1_*:*_0,Done,06/Mar/26 6:54 PM
Initialize the empty web app template,WSSS-8,10072,Task,Done,WSSS,Web Service Scrum Space,software,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,,Medium,Done,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,17/Feb/26 7:00 PM,04/Mar/26 7:52 PM,,18/Feb/26 8:23 PM,08/Mar/26 12:00 AM,0,,,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5abafdcf,,,,,,{},,,,,,,,,,,,0|i0001b:,,,Sprint 1,,,2.0,,,,,,,,10002_*:*_1_*:*_91337349_*|*_10004_*:*_1_*:*_0,Done,18/Feb/26 8:23 PM
Connect the ORM to the database,WSSS-9,10073,Task,Done,WSSS,Web Service Scrum Space,software,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,,Medium,Done,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,17/Feb/26 7:01 PM,04/Mar/26 7:52 PM,18/Feb/26 8:23 PM,18/Feb/26 8:23 PM,08/Mar/26 12:00 AM,0,,,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1bef3011,,,,,,{},,,,,,,,,,,,0|i0001j:,,,Sprint 1,,,2.0,,,,,,,,10002_*:*_1_*:*_91323143_*|*_10004_*:*_1_*:*_0,Done,18/Feb/26 8:23 PM
Create the database schema,WSSS-10,10074,Task,Done,WSSS,Web Service Scrum Space,software,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,,Medium,Done,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,17/Feb/26 7:01 PM,06/Mar/26 6:54 PM,,06/Mar/26 6:54 PM,08/Mar/26 12:00 AM,0,,,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@42a5f02,,,,,,{},,,,,,,,,,,,0|i0001r:,,,Sprint 1,,,2.0,,,,,,,,10002_*:*_1_*:*_1468406096_*|*_10004_*:*_1_*:*_0,Done,06/Mar/26 6:54 PM
Setup CI/CD,WSSS-11,10075,Task,Done,WSSS,Web Service Scrum Space,software,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,,Medium,Done,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,17/Feb/26 7:02 PM,04/Mar/26 7:53 PM,,18/Feb/26 8:23 PM,08/Mar/26 12:00 AM,0,,,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@515e4bc7,,,,,,{},,,,,,,,,,,,0|i0001z:,,,Sprint 1,,,2.0,,,,,,,,10002_*:*_1_*:*_91246115_*|*_10004_*:*_1_*:*_0,Done,18/Feb/26 8:23 PM
As a user I should be able to create or sign up to the web app so i can easily find a team to game with.,WSSS-12,10076,Story,Done,WSSS,Web Service Scrum Space,software,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,,Medium,Done,DNelson,712020:ecd4bced-bcb4-4dc9-8df6-025c401bf453,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,17/Feb/26 7:03 PM,04/Mar/26 8:02 PM,,04/Mar/26 8:02 PM,08/Mar/26 12:00 AM,0,,,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@bdeec8d,,,,,,{},,,,,,,,,,,,0|i00027:,,,Sprint 1,,,10.0,,,,,,,,10002_*:*_2_*:*_1299555082_*|*_10004_*:*_1_*:*_6955,Done,04/Mar/26 8:02 PM
"set up authentication within the app. If next.js, next auth can be used.",WSSS-13,10077,Task,Done,WSSS,Web Service Scrum Space,software,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,,Medium,Done,DNelson,712020:ecd4bced-bcb4-4dc9-8df6-025c401bf453,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,17/Feb/26 7:05 PM,04/Mar/26 8:02 PM,,04/Mar/26 8:02 PM,08/Mar/26 12:00 AM,0,,,austin howell,712020:fcf60064-118d-403f-8f0a-9a06f828e27e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@46439508,,,,,,{},,,,,,,,,,,,0|i0002f:,,,Sprint 1,,,5.0,,,,,,,,10002_*:*_2_*:*_1299444114_*|*_10004_*:*_1_*:*_3997,Done,04/Mar/26 8:02 PM
